"Nodo","Fecha","Hora","pml"
"06PRY-115","2024-12-05","2","516.56"
"06PRY-115","2024-12-05","3","515.73"
"06PRY-115","2024-12-05","4","513.45"
"06PRY-115","2024-12-05","5","513.05"
"06PRY-115","2024-12-05","6","515.33"
"06PRY-115","2024-12-05","7","572.36"
"06PRY-115","2024-12-05","8","468.98"
"06PRY-115","2024-12-05","9","513.87"
"06PRY-115","2024-12-05","10","496.32"
"06PRY-115","2024-12-05","11","471.34"
"06PRY-115","2024-12-05","12","510.98"
"06PRY-115","2024-12-05","13","516.58"
"06PRY-115","2024-12-05","14","495.95"
"06PRY-115","2024-12-05","15","496.26"
"06PRY-115","2024-12-05","16","570.83"
"06PRY-115","2024-12-05","17","557.85"
"06PRY-115","2024-12-05","18","790.93"
"06PRY-115","2024-12-05","19","1053.2"
"06PRY-115","2024-12-05","20","777.83"
"06PRY-115","2024-12-05","21","626.43"
"06PRY-115","2024-12-05","22","589.4"
"06PRY-115","2024-12-05","23","570.26"
"06PRY-115","2024-12-05","24","546.71"
"06PRY-115","2024-12-06","1","574.34"
"06PRY-115","2024-12-06","2","510.6"
"06PRY-115","2024-12-06","3","496.24"
"06PRY-115","2024-12-06","4","493.78"
"06PRY-115","2024-12-06","5","494.01"
